# Extent Types ...
<ExtentType name="DataSeries: ExtentIndex">
  <field type="int64" name="offset" />
  <field type="variable32" name="extenttype" />
</ExtentType>

<ExtentType name="DataSeries: XmlType">
  <field type="variable32" name="xmltype" />
</ExtentType>

<ExtentType name="complex test type">
  <field type="bool" name="bool" />
  <field type="bool" name="null_bool" opt_nullable="yes"/>
  <field type="byte" name="byte" />
  <field type="byte" name="null_byte" opt_nullable="yes"/>
  <field type="int32" name="int32" />
  <field type="int32" name="null_int32" opt_nullable="yes"/>
  <field type="int64" name="int64" />
  <field type="int64" name="null_int64" opt_nullable="yes"/>
  <field type="double" name="double" />
  <field type="double" name="null_double" opt_nullable="yes"/>
  <field type="double" name="base_double" opt_doublebase="100000"/>
  <field type="variable32" name="variable32" />
  <field type="variable32" name="null_variable32" opt_nullable="yes"/>
</ExtentType>
# Extent, type='complex test type'
bool null_bool byte null_byte int32 null_int32 int64 null_int64 double null_double base_double variable32 null_variable32
T F 131 null 330396538 null 7034940330420172763 null 0.253503655 null 142066.754 B4133CE9BED4696BA1667DF5E58DA391 5BA997CFF298EF225D84CD2CC544549E
F T 45 224 1392526558 1261448148 4058279377514668319 3187528777375208067 0.189761726 0.477680667 248714.689 91FD49EDAF6F4FF9F0A1EAD10E968B5A 04B475BD1386A811FA0DFC1B333B7BF7
T null 148 null -1942454904 519742270 -3879541775134977678 null 0.0730341202 0.330660164 88810.479 F6C4016453738D57D6B4518D0421628A BD2F805407C37B6E49A9029CF58E2078
T F 198 null 566103865 null -1712695421441314929 6086348250567560389 0.421900354 null 442725.748 546C186999A3685781B96D1F6E16EA56 null
T T 165 25 -73457594 893388996 -5162034928306544207 -229288428619086364 0.586985582 0.526850536 177060.05 A60540D4A923CD08A84D8AF60B16AD74 22FDB56A952525151D11A3A2DED17A9C
F F 29 187 -896414377 -1046217918 3664002306402635880 null 0.905462183 0.777874793 603484.629 5D509C0820AD70E7D71B32DF059DBB6E null
F null 195 null 910324541 1984999490 8099241312964044416 null 0.799720808 0.280906085 -81736.6875 F7A2B7AFB463B71A098A152CDF97ED95 856C2864687E5436A964628A6D4F188F
F T 169 55 -1532960816 111629834 2609969951278073664 null 0.507957119 0.676349395 271488.025 1BC0F0934B145E233251FB31EBD08AF8 null
F null 87 null 1520747436 null 2738334173447168371 -2139036656410914067 0.345501178 null 273256.375 BB8A61D4EBEFC254049739B0BA2B8E75 5635AC647C2AE2B4C3144DD0C2B33CC9
F null 142 null -1555646314 -1478125398 -7039028772422615187 null 0.893207715 0.838792222 716436.851 086309E084ABC114D8192E3719A2345D null
F F 206 null 958286560 -50219144 2600943029023663074 5542772103145604 0.14087384 0.118221692 447784.575 6895FC78A3A27D1305CC5413200501AF null
T null 248 98 -680645541 null 3926704571508848931 null 0.664602753 0.79042012 -20567.7668 BA1FF18EBB1810CBB225D3461654DBA4 null
F T 202 null -1437864286 null 1444769897165726476 null 0.0707562525 null 408243.793 862967E7F317965518AE169EADE5D9B3 82E96641DF03FC13C7587F47134EBDF4
T null 27 null 1071922163 null -2226446722429543639 null 0.320183036 null 484885.976 E85AA3AD17169ED5D058FDA4D3CBA44D F9C480BD54924F83837942301108CFEF
F F 32 252 -1838360332 null -4360711374156145156 -586937439337852999 0.0898065962 null 187822.331 548EEABBF80A3CE01DE32357DFC471E1 null
T null 108 191 82955527 1173152128 1414363501529622570 -1742284227490210139 0.867033829 0.137565193 205481.497 76FA3460A600C9D5FB647D21187298F4 null
T T 132 174 440747257 null 5286157028837188130 -2458174454051249118 0.0833641331 null 554199.903 3AC1BF6E4A0ED390F7462A21E006AB9B 660060D8649BCBC09380074A706EED06
T null 166 139 -188450263 -1794731148 2984623382973919222 null 0.760769612 0.881114668 853735.979 B71E179EDF346EFE85B5EA744B49693E F2D7E03B38B14C502CFD63781CACCF86
F null 157 218 -1281720204 -116526924 -8285517422055184427 null 0.148683219 0.681675635 547279.781 F5C3E4373967638DB658EAAE0ABC0C08 DE1B220C895277D4B7FB271D342420B2
F F 3 null -537344907 null -1728550083095328649 -3608749452530282355 0.0647528645 null 774567.3 A7FDFC59F12507278032AF6C3D841012 null
T T 22 null 725043948 null -1630479379940879484 -5323867620992278671 0.296464368 0.391311251 698752.115 41FDEFF02093AA9F3DA0EC48BE918328 4778D69FA02961CC8DD189EFF8210845
F null 254 149 -1580684226 null -3292443042813116308 -61344825423279510 0.484844096 null 94964.5353 45709F1C91548B804096CF25AAA80100 5D1F9D379D0A2D65609F135DEC421E09
T null 3 null -744011698 null 7160442281150101704 -4535639300185987182 0.013997335 null 811710.901 5ED225F1927A66B9CBF383E2EB764F2A null
F F 242 114 -785851870 null 6148486259413983355 null 0.848227635 null -88821.7819 F8812835EEF808F3ED9F638141BF7FFD null
F null 26 null 1684650650 2132880673 -7173297092977173558 3483550425639330762 0.953857167 null 539329.376 C2D5163795BA06C2FE605242D284A4B0 ABB3F8D0C3A3DDC61B1137DCF9635F02
T T 231 null 2111539771 -1901372509 7228784810360454110 9216926600087258193 0.147106284 0.462431012 428626.497 8BF0B4E319BEC39B241E1C7B7C8AABFD 81D7B04CEA05CD0CF283F30B50FB18CE
T T 234 234 980877736 null 5560360433963904645 -2983118260071520764 0.711286447 0.866796262 221343.344 8DB507370C195B4EE0903C769E6E1325 A48BC55A77456003F265F995B91ACCD5
T null 100 17 -236585814 null -7244887752469525649 null 0.39083173 null 853134.544 7847F1FE9D93DCA67339ED61F9034BDB null
F null 253 null 222505964 null 134025283004755377 null 0.0460297379 null 477274.594 9E580D2DC2CEB3066C2A21B9FE4583CE 8BE1C34AD1020EF545C8E82906B19A22
T F 197 126 1263223318 -901948246 8273135902682124388 -2460738514554498539 0.0933734414 0.526676485 851137.655 43EBE2044659A24064E3DE357EA47FFC null
F F 40 211 1772355997 1687365977 -1843467928418551764 1033494445301085068 0.377350796 0.985218353 504369.705 0C3003ECF6755C761AA02147CE15A52C null
T null 165 82 -1705803868 null -5937105504409926377 null 0.58174863 0.0799077089 788994.623 B134C4464A7F8F8BB86FBC8FB814DBFD 8278307E4F21D7400CB56F5C257077F0
T null 30 39 -1876997349 null -5483658762700273919 1004825309853904853 0.902300173 null 208178.812 3ACED7CCE828D5FAC8B92DE84890C6C9 AFEF6A2EFD44AD6E8574CA559260FACC
F null 227 62 992058074 null 144765610719894956 509437079835121101 0.504308091 null 485314.585 5DA49D7DBD1EC217ED2669E0709A9DDC null
T null 242 120 134889674 -1307544928 4239611398000369140 null 0.65582196 0.154061386 326339.663 C54820EA89957C24D04A9884D1FE74C2 null
F T 215 null 518633810 null -5096792050793387726 -1385230043761078657 0.079486202 null 102815.827 63BF097B32DD7B63222F75C67EC00867 null
F T 186 null 557636173 517754645 6955284869312756321 null 0.49167787 0.494872136 43627.1112 A7C20E42A598DB58761BC3BA8790A35B null
F null 210 null 597376183 -508667608 -2207368482255115544 -2764514550299316585 0.927944769 0.932663788 514558.476 C7216921FCC4F4EA9AAEFA9E1D917B2C 1E548A5F4DC1E18711D7A6A0C8962EB2
F null 241 null 1185288642 null 9031528290500965387 null 0.981415102 0.545716946 140852.671 E9EEB090E16A4B5D5B195E06A6526022 null
T F 157 null 118944853 null 5571084115385968083 6154769469672214466 0.616175084 null 34262.5089 B9C146B387F35104BE5AB43E06649011 6DE467C21DB4973AAE1022A57890396D
T null 140 null -1099230373 -299829255 -5838548701285620795 null 0.430703088 null 768905.909 9E14C206011F5BAE09C3365C34B029CB 7E4591A2200EDBAF7176B8315CBC1926
T T 22 206 423628117 -1341101813 6860706797515377837 3102707290877582738 0.489599982 null 419327.098 29E66F9D17136155E2543742EF0638DF 010960B442772B2E32C8922BAFB454C9
F null 221 198 -230005536 -2038068935 7122740983349604872 8053405284064167653 0.355887292 null 650720.759 F7C564ED6692DB397269324AC52ADCEE CED3466F29BC663E084B96039387377A
F null 11 null -1979670873 null -3208131252733667103 -741357554695235662 0.852293811 0.466757368 490554.64 36FA44596A5EDB9CF8B0561CC547226C null
T null 239 null 1459989603 null -8352614539846518013 null 0.0214629469 0.738267227 511581.688 0A47110CBA3C9BAF203DFDC624FCA3AA null
T F 217 null -678506920 -251645285 2188268252984994947 4827795293292286689 0.265737044 null 730239.821 0C5A59939B0A1024898E675A486FFC8F 636774FF60C59F55C8070F4233A5CBCB
F null 106 null 679913005 null 4027350708643248500 2497699420277315366 0.560614401 null 554105.815 4A80C0B6B6D591D7D860843A7C855F3A 90909586818AD6A2DF5C0D931E9BE8F5
F F 142 null -934190272 null 3819407830320013507 null 0.264453108 0.47606649 869306.01 DEED7DFA26965049A766AC9B9A865096 7B7391163688D5C0EC0A06938EE097AB
T F 176 null -1817821173 2099897667 8471792973837187240 null 0.292305471 0.845681212 567707.48 C462F20A84C07E3C3106757D13FAE868 F4F26A0854B54D260C807FF256A9DCAF
F null 51 255 -138671462 1372895414 -6513594886987010131 null 0.856477942 null 640932.449 2A236DAB1F844DB2705E66975EFB3684 null
T null 248 85 1578498040 91374147 9071927522991853287 null 0.0386042939 null 598177.844 290930B4555E8AE9A77A1A4CEA1040CB 2C857936CA8E1A528DE3A4F52B4A4493
F null 102 106 -31374650 null -6395108709265178465 -7786377232845902748 0.373544554 0.728789075 531424.649 EA617C9C49708C414DD730B8930842F8 null
F T 86 null 1562753835 1997393858 5904643731921543763 null 0.268308055 null 823496.522 F195D93F557A2F4DC4B188674F0EFA6F null
T null 78 null 275376560 null 2955644667282231325 null 0.140643439 null 733540.987 588CF06AB737B5E2624C21CE5D4898B2 null
T T 43 58 979487391 -331134354 377592329125333866 8554629518073037928 0.474123749 null 147182.571 BF1BD28347EBFC36D43BDEBAA751E7BD FFC4B29CB451B4CE4002E1FD0922F445
F F 205 null 1490753215 198719566 8579945427426094030 null 0.00890537411 null 640524.856 1BACAFFC4A69448A5D161F26F3C723DA null
