# Extent Types ...
<ExtentType name="DataSeries: ExtentIndex">
  <field type="int64" name="offset" />
  <field type="variable32" name="extenttype" />
</ExtentType>

<ExtentType name="DataSeries: XmlType">
  <field type="variable32" name="xmltype" />
</ExtentType>

<ExtentType name="Test::Simple" namespace="ssd.hpl.hp.com" version="1.0">  <field type="double" name="a" />  <field type="double" name="b" />  <field type="double" name="c" />  <field type="variable32" name="d" />  <field type="variable32" name="e" /></ExtentType>
# Extent, type='Test::Simple'
a b c d e
4.5 10.5 47.25 4.5 10.5
4.5 11 49.5 4.5 11
4.5 11.5 51.75 4.5 11.5
4.5 12 54 4.5 12
4.5 12.5 56.25 4.5 12.5
4.5 13 58.5 4.5 13
4.5 13.5 60.75 4.5 13.5
4.5 14 63 4.5 14
4.5 14.5 65.25 4.5 14.5
4.5 15 67.5 4.5 15
4.5 15.5 69.75 4.5 15.5
4.5 16 72 4.5 16
4.5 16.5 74.25 4.5 16.5
4.5 17 76.5 4.5 17
4.5 17.5 78.75 4.5 17.5
4.5 18 81 4.5 18
4.5 18.5 83.25 4.5 18.5
4.5 19 85.5 4.5 19
4.5 19.5 87.75 4.5 19.5
5 0 0 5 0
5 0.5 2.5 5 0.5
5 1 5 5 1
5 1.5 7.5 5 1.5
5 2 10 5 2
5 2.5 12.5 5 2.5
5 3 15 5 3
5 3.5 17.5 5 3.5
5 4 20 5 4
5 4.5 22.5 5 4.5
5 5 25 5 5
5 5.5 27.5 5 5.5
5 6 30 5 6
5 6.5 32.5 5 6.5
5 7 35 5 7
5 7.5 37.5 5 7.5
5 8 40 5 8
5 8.5 42.5 5 8.5
5 9 45 5 9
5 9.5 47.5 5 9.5
5 10 50 5 10
5 10.5 52.5 5 10.5
5 11 55 5 11
5 11.5 57.5 5 11.5
5 12 60 5 12
5 12.5 62.5 5 12.5
5 13 65 5 13
5 13.5 67.5 5 13.5
5 14 70 5 14
5 14.5 72.5 5 14.5
5 15 75 5 15
5 15.5 77.5 5 15.5
5 16 80 5 16
5 16.5 82.5 5 16.5
5 17 85 5 17
5 17.5 87.5 5 17.5
5 18 90 5 18
5 18.5 92.5 5 18.5
5 19 95 5 19
5 19.5 97.5 5 19.5
5.5 0 0 5.5 0
5.5 0.5 2.75 5.5 0.5
5.5 1 5.5 5.5 1
5.5 1.5 8.25 5.5 1.5
5.5 2 11 5.5 2
5.5 2.5 13.75 5.5 2.5
5.5 3 16.5 5.5 3
5.5 3.5 19.25 5.5 3.5
5.5 4 22 5.5 4
5.5 4.5 24.75 5.5 4.5
5.5 5 27.5 5.5 5
5.5 5.5 30.25 5.5 5.5
5.5 6 33 5.5 6
5.5 6.5 35.75 5.5 6.5
5.5 7 38.5 5.5 7
5.5 7.5 41.25 5.5 7.5
5.5 8 44 5.5 8
5.5 8.5 46.75 5.5 8.5
5.5 9 49.5 5.5 9
5.5 9.5 52.25 5.5 9.5
5.5 10 55 5.5 10
5.5 10.5 57.75 5.5 10.5
5.5 11 60.5 5.5 11
5.5 11.5 63.25 5.5 11.5
5.5 12 66 5.5 12
5.5 12.5 68.75 5.5 12.5
5.5 13 71.5 5.5 13
5.5 13.5 74.25 5.5 13.5
5.5 14 77 5.5 14
5.5 14.5 79.75 5.5 14.5
5.5 15 82.5 5.5 15
5.5 15.5 85.25 5.5 15.5
5.5 16 88 5.5 16
5.5 16.5 90.75 5.5 16.5
5.5 17 93.5 5.5 17
5.5 17.5 96.25 5.5 17.5
5.5 18 99 5.5 18
5.5 18.5 101.75 5.5 18.5
5.5 19 104.5 5.5 19
5.5 19.5 107.25 5.5 19.5
6 0 0 6 0
6 0.5 3 6 0.5
6 1 6 6 1
6 1.5 9 6 1.5
6 2 12 6 2
6 2.5 15 6 2.5
6 3 18 6 3
6 3.5 21 6 3.5
6 4 24 6 4
6 4.5 27 6 4.5
6 5 30 6 5
6 5.5 33 6 5.5
6 6 36 6 6
6 6.5 39 6 6.5
6 7 42 6 7
6 7.5 45 6 7.5
6 8 48 6 8
6 8.5 51 6 8.5
6 9 54 6 9
6 9.5 57 6 9.5
6 10 60 6 10
6 10.5 63 6 10.5
6 11 66 6 11
6 11.5 69 6 11.5
6 12 72 6 12
6 12.5 75 6 12.5
6 13 78 6 13
6 13.5 81 6 13.5
6 14 84 6 14
6 14.5 87 6 14.5
6 15 90 6 15
6 15.5 93 6 15.5
6 16 96 6 16
6 16.5 99 6 16.5
6 17 102 6 17
6 17.5 105 6 17.5
6 18 108 6 18
6 18.5 111 6 18.5
6 19 114 6 19
6 19.5 117 6 19.5
6.5 0 0 6.5 0
6.5 0.5 3.25 6.5 0.5
6.5 1 6.5 6.5 1
6.5 1.5 9.75 6.5 1.5
6.5 2 13 6.5 2
6.5 2.5 16.25 6.5 2.5
6.5 3 19.5 6.5 3
6.5 3.5 22.75 6.5 3.5
6.5 4 26 6.5 4
6.5 4.5 29.25 6.5 4.5
6.5 5 32.5 6.5 5
6.5 5.5 35.75 6.5 5.5
6.5 6 39 6.5 6
6.5 6.5 42.25 6.5 6.5
6.5 7 45.5 6.5 7
6.5 7.5 48.75 6.5 7.5
6.5 8 52 6.5 8
6.5 8.5 55.25 6.5 8.5
6.5 9 58.5 6.5 9
6.5 9.5 61.75 6.5 9.5
6.5 10 65 6.5 10
6.5 10.5 68.25 6.5 10.5
6.5 11 71.5 6.5 11
6.5 11.5 74.75 6.5 11.5
6.5 12 78 6.5 12
6.5 12.5 81.25 6.5 12.5
6.5 13 84.5 6.5 13
6.5 13.5 87.75 6.5 13.5
6.5 14 91 6.5 14
6.5 14.5 94.25 6.5 14.5
6.5 15 97.5 6.5 15
6.5 15.5 100.75 6.5 15.5
6.5 16 104 6.5 16
6.5 16.5 107.25 6.5 16.5
6.5 17 110.5 6.5 17
6.5 17.5 113.75 6.5 17.5
6.5 18 117 6.5 18
6.5 18.5 120.25 6.5 18.5
6.5 19 123.5 6.5 19
6.5 19.5 126.75 6.5 19.5
7 0 0 7 0
7 0.5 3.5 7 0.5
7 1 7 7 1
7 1.5 10.5 7 1.5
7 2 14 7 2
7 2.5 17.5 7 2.5
7 3 21 7 3
7 3.5 24.5 7 3.5
7 4 28 7 4
7 4.5 31.5 7 4.5
7 5 35 7 5
7 5.5 38.5 7 5.5
7 6 42 7 6
7 6.5 45.5 7 6.5
7 7 49 7 7
7 7.5 52.5 7 7.5
7 8 56 7 8
7 8.5 59.5 7 8.5
7 9 63 7 9
7 9.5 66.5 7 9.5
7 10 70 7 10
7 10.5 73.5 7 10.5
7 11 77 7 11
7 11.5 80.5 7 11.5
7 12 84 7 12
7 12.5 87.5 7 12.5
7 13 91 7 13
7 13.5 94.5 7 13.5
7 14 98 7 14
7 14.5 101.5 7 14.5
7 15 105 7 15
7 15.5 108.5 7 15.5
7 16 112 7 16
7 16.5 115.5 7 16.5
7 17 119 7 17
7 17.5 122.5 7 17.5
7 18 126 7 18
7 18.5 129.5 7 18.5
7 19 133 7 19
7 19.5 136.5 7 19.5
7.5 0 0 7.5 0
7.5 0.5 3.75 7.5 0.5
7.5 1 7.5 7.5 1
7.5 1.5 11.25 7.5 1.5
7.5 2 15 7.5 2
7.5 2.5 18.75 7.5 2.5
7.5 3 22.5 7.5 3
7.5 3.5 26.25 7.5 3.5
7.5 4 30 7.5 4
7.5 4.5 33.75 7.5 4.5
7.5 5 37.5 7.5 5
7.5 5.5 41.25 7.5 5.5
7.5 6 45 7.5 6
7.5 6.5 48.75 7.5 6.5
7.5 7 52.5 7.5 7
7.5 7.5 56.25 7.5 7.5
7.5 8 60 7.5 8
7.5 8.5 63.75 7.5 8.5
7.5 9 67.5 7.5 9
7.5 9.5 71.25 7.5 9.5
7.5 10 75 7.5 10
7.5 10.5 78.75 7.5 10.5
7.5 11 82.5 7.5 11
7.5 11.5 86.25 7.5 11.5
7.5 12 90 7.5 12
7.5 12.5 93.75 7.5 12.5
7.5 13 97.5 7.5 13
7.5 13.5 101.25 7.5 13.5
7.5 14 105 7.5 14
7.5 14.5 108.75 7.5 14.5
7.5 15 112.5 7.5 15
7.5 15.5 116.25 7.5 15.5
7.5 16 120 7.5 16
7.5 16.5 123.75 7.5 16.5
7.5 17 127.5 7.5 17
7.5 17.5 131.25 7.5 17.5
7.5 18 135 7.5 18
7.5 18.5 138.75 7.5 18.5
7.5 19 142.5 7.5 19
7.5 19.5 146.25 7.5 19.5
8 0 0 8 0
8 0.5 4 8 0.5
8 1 8 8 1
8 1.5 12 8 1.5
8 2 16 8 2
8 2.5 20 8 2.5
8 3 24 8 3
8 3.5 28 8 3.5
8 4 32 8 4
8 4.5 36 8 4.5
8 5 40 8 5
8 5.5 44 8 5.5
8 6 48 8 6
8 6.5 52 8 6.5
8 7 56 8 7
8 7.5 60 8 7.5
8 8 64 8 8
8 8.5 68 8 8.5
8 9 72 8 9
8 9.5 76 8 9.5
8 10 80 8 10
8 10.5 84 8 10.5
8 11 88 8 11
8 11.5 92 8 11.5
8 12 96 8 12
8 12.5 100 8 12.5
8 13 104 8 13
8 13.5 108 8 13.5
8 14 112 8 14
8 14.5 116 8 14.5
8 15 120 8 15
8 15.5 124 8 15.5
8 16 128 8 16
8 16.5 132 8 16.5
8 17 136 8 17
8 17.5 140 8 17.5
8 18 144 8 18
8 18.5 148 8 18.5
8 19 152 8 19
8 19.5 156 8 19.5
8.5 0 0 8.5 0
8.5 0.5 4.25 8.5 0.5
# Extent, type='Test::Simple'
a b c d e
8.5 1 8.5 8.5 1
8.5 1.5 12.75 8.5 1.5
8.5 2 17 8.5 2
8.5 2.5 21.25 8.5 2.5
8.5 3 25.5 8.5 3
8.5 3.5 29.75 8.5 3.5
8.5 4 34 8.5 4
8.5 4.5 38.25 8.5 4.5
8.5 5 42.5 8.5 5
8.5 5.5 46.75 8.5 5.5
8.5 6 51 8.5 6
8.5 6.5 55.25 8.5 6.5
8.5 7 59.5 8.5 7
8.5 7.5 63.75 8.5 7.5
8.5 8 68 8.5 8
8.5 8.5 72.25 8.5 8.5
8.5 9 76.5 8.5 9
8.5 9.5 80.75 8.5 9.5
8.5 10 85 8.5 10
8.5 10.5 89.25 8.5 10.5
8.5 11 93.5 8.5 11
8.5 11.5 97.75 8.5 11.5
8.5 12 102 8.5 12
8.5 12.5 106.25 8.5 12.5
8.5 13 110.5 8.5 13
8.5 13.5 114.75 8.5 13.5
8.5 14 119 8.5 14
8.5 14.5 123.25 8.5 14.5
8.5 15 127.5 8.5 15
8.5 15.5 131.75 8.5 15.5
8.5 16 136 8.5 16
8.5 16.5 140.25 8.5 16.5
8.5 17 144.5 8.5 17
8.5 17.5 148.75 8.5 17.5
8.5 18 153 8.5 18
8.5 18.5 157.25 8.5 18.5
8.5 19 161.5 8.5 19
8.5 19.5 165.75 8.5 19.5
9 0 0 9 0
9 0.5 4.5 9 0.5
9 1 9 9 1
9 1.5 13.5 9 1.5
9 2 18 9 2
9 2.5 22.5 9 2.5
9 3 27 9 3
9 3.5 31.5 9 3.5
9 4 36 9 4
9 4.5 40.5 9 4.5
9 5 45 9 5
9 5.5 49.5 9 5.5
9 6 54 9 6
9 6.5 58.5 9 6.5
9 7 63 9 7
9 7.5 67.5 9 7.5
9 8 72 9 8
9 8.5 76.5 9 8.5
9 9 81 9 9
9 9.5 85.5 9 9.5
9 10 90 9 10
9 10.5 94.5 9 10.5
9 11 99 9 11
9 11.5 103.5 9 11.5
9 12 108 9 12
9 12.5 112.5 9 12.5
9 13 117 9 13
9 13.5 121.5 9 13.5
9 14 126 9 14
9 14.5 130.5 9 14.5
9 15 135 9 15
9 15.5 139.5 9 15.5
9 16 144 9 16
9 16.5 148.5 9 16.5
9 17 153 9 17
9 17.5 157.5 9 17.5
9 18 162 9 18
9 18.5 166.5 9 18.5
9 19 171 9 19
9 19.5 175.5 9 19.5
9.5 0 0 9.5 0
9.5 0.5 4.75 9.5 0.5
9.5 1 9.5 9.5 1
9.5 1.5 14.25 9.5 1.5
9.5 2 19 9.5 2
9.5 2.5 23.75 9.5 2.5
9.5 3 28.5 9.5 3
9.5 3.5 33.25 9.5 3.5
9.5 4 38 9.5 4
9.5 4.5 42.75 9.5 4.5
9.5 5 47.5 9.5 5
9.5 5.5 52.25 9.5 5.5
9.5 6 57 9.5 6
9.5 6.5 61.75 9.5 6.5
9.5 7 66.5 9.5 7
9.5 7.5 71.25 9.5 7.5
9.5 8 76 9.5 8
9.5 8.5 80.75 9.5 8.5
9.5 9 85.5 9.5 9
9.5 9.5 90.25 9.5 9.5
9.5 10 95 9.5 10
9.5 10.5 99.75 9.5 10.5
9.5 11 104.5 9.5 11
9.5 11.5 109.25 9.5 11.5
9.5 12 114 9.5 12
9.5 12.5 118.75 9.5 12.5
9.5 13 123.5 9.5 13
9.5 13.5 128.25 9.5 13.5
9.5 14 133 9.5 14
9.5 14.5 137.75 9.5 14.5
9.5 15 142.5 9.5 15
9.5 15.5 147.25 9.5 15.5
9.5 16 152 9.5 16
9.5 16.5 156.75 9.5 16.5
9.5 17 161.5 9.5 17
9.5 17.5 166.25 9.5 17.5
9.5 18 171 9.5 18
9.5 18.5 175.75 9.5 18.5
9.5 19 180.5 9.5 19
9.5 19.5 185.25 9.5 19.5
10 0 0 10 0
10 0.5 5 10 0.5
10 1 10 10 1
10 1.5 15 10 1.5
10 2 20 10 2
10 2.5 25 10 2.5
10 3 30 10 3
10 3.5 35 10 3.5
10 4 40 10 4
10 4.5 45 10 4.5
10 5 50 10 5
10 5.5 55 10 5.5
10 6 60 10 6
10 6.5 65 10 6.5
10 7 70 10 7
10 7.5 75 10 7.5
10 8 80 10 8
10 8.5 85 10 8.5
10 9 90 10 9
10 9.5 95 10 9.5
10 10 100 10 10
10 10.5 105 10 10.5
10 11 110 10 11
10 11.5 115 10 11.5
10 12 120 10 12
10 12.5 125 10 12.5
10 13 130 10 13
10 13.5 135 10 13.5
10 14 140 10 14
10 14.5 145 10 14.5
10 15 150 10 15
10 15.5 155 10 15.5
10 16 160 10 16
10 16.5 165 10 16.5
10 17 170 10 17
10 17.5 175 10 17.5
10 18 180 10 18
10 18.5 185 10 18.5
10 19 190 10 19
10 19.5 195 10 19.5
10.5 0 0 10.5 0
10.5 0.5 5.25 10.5 0.5
10.5 1 10.5 10.5 1
10.5 1.5 15.75 10.5 1.5
10.5 2 21 10.5 2
10.5 2.5 26.25 10.5 2.5
10.5 3 31.5 10.5 3
10.5 3.5 36.75 10.5 3.5
10.5 4 42 10.5 4
10.5 4.5 47.25 10.5 4.5
10.5 5 52.5 10.5 5
10.5 5.5 57.75 10.5 5.5
10.5 6 63 10.5 6
10.5 6.5 68.25 10.5 6.5
10.5 7 73.5 10.5 7
10.5 7.5 78.75 10.5 7.5
10.5 8 84 10.5 8
10.5 8.5 89.25 10.5 8.5
10.5 9 94.5 10.5 9
10.5 9.5 99.75 10.5 9.5
10.5 10 105 10.5 10
10.5 10.5 110.25 10.5 10.5
10.5 11 115.5 10.5 11
10.5 11.5 120.75 10.5 11.5
10.5 12 126 10.5 12
10.5 12.5 131.25 10.5 12.5
10.5 13 136.5 10.5 13
10.5 13.5 141.75 10.5 13.5
10.5 14 147 10.5 14
10.5 14.5 152.25 10.5 14.5
10.5 15 157.5 10.5 15
10.5 15.5 162.75 10.5 15.5
10.5 16 168 10.5 16
10.5 16.5 173.25 10.5 16.5
10.5 17 178.5 10.5 17
10.5 17.5 183.75 10.5 17.5
10.5 18 189 10.5 18
10.5 18.5 194.25 10.5 18.5
10.5 19 199.5 10.5 19
10.5 19.5 204.75 10.5 19.5
11 0 0 11 0
11 0.5 5.5 11 0.5
11 1 11 11 1
11 1.5 16.5 11 1.5
11 2 22 11 2
11 2.5 27.5 11 2.5
11 3 33 11 3
11 3.5 38.5 11 3.5
11 4 44 11 4
11 4.5 49.5 11 4.5
11 5 55 11 5
11 5.5 60.5 11 5.5
11 6 66 11 6
11 6.5 71.5 11 6.5
11 7 77 11 7
11 7.5 82.5 11 7.5
11 8 88 11 8
11 8.5 93.5 11 8.5
11 9 99 11 9
11 9.5 104.5 11 9.5
11 10 110 11 10
